screen_name,location,created_at,language,created_year
innoutburger,"Irvine, CA",2008-10-07 20:50:07,,2008
dog_feelings,,2017-03-26 23:09:44,,2017
CaptainMarcin,,2012-07-22 09:54:17,,2012
MrAndrewCotter,,2009-10-19 21:11:55,,2009
DeborahMeaden,England,2011-09-05 09:42:34,,2011
speedomick,LONDON ,2014-07-29 18:16:40,,2014
itvwestcountry,South West of England,2009-07-09 15:42:23,,2009
BBCCornwall,Truro,2009-03-10 21:21:34,,2009
kevinbridges86,Glasgow,2011-12-20 13:54:13,,2011
RPJBand,Worldwide,2012-01-04 01:51:15,,2012
chrishoy,Edinburgh/Manchester,2009-01-30 10:49:31,,2009
BBCSpotlight,South West UK,2009-11-11 16:46:53,,2009
robhayles1,,2011-03-25 22:23:28,,2011
Chris_Boardman,,2009-05-03 10:29:47,,2009
chrisfroome,,2009-08-06 20:02:13,,2009
GeraintThomas86,,2010-06-13 20:19:52,,2010
marcelkittel,,2010-07-04 06:12:35,,2010
thejensie,Germany,2011-07-11 18:56:35,,2011
millarmind,Girona + London,2011-06-28 10:12:46,,2011
f_cancellara,,2010-07-25 06:53:39,,2010
MarkCavendish,,2011-04-01 15:17:28,,2011
adinross,"Los Angeles, CA / Miami, FL",2016-07-31 08:00:51,,2016
modsiwW,"Houston, TX",2015-05-27 19:24:14,,2015
souljaboy,"Los Angeles, CA",2008-10-17 17:09:15,,2008
cuteIooks,♥︎,2020-06-24 03:32:58,,2020
btc_robinhood,DM OPEN,2020-07-07 20:34:12,,2020
TeenVogue,,2009-03-13 15:38:45,,2009
jackharlow,"Louisville, Kentucky",2009-07-31 00:24:20,,2009
LilWasX,Cowboy Sawse,2019-10-17 19:17:20,,2019
SupremeDreams_1,Texas ,2011-05-27 02:09:20,,2011
DonToliver,"Houston, TX",2011-07-04 08:46:59,,2011
corruptedray001,,2011-08-04 01:00:18,,2011
mariojudah_,,2020-10-04 16:00:13,,2020
playboicarti,,2010-01-02 16:53:27,,2010
Lavarbigballer,,2017-04-20 23:32:57,,2017
Uber_Support,,2014-09-17 22:00:12,,2014
DavidDobrik,Los Angeles ,2011-06-28 02:34:49,,2011
zumiez,"Lynnwood, WA",2009-04-21 19:16:46,,2009
NextModels,,2009-03-17 18:25:23,,2009
TommyHilfiger,Global,2009-04-10 07:14:15,,2009
Burberry,"London, England",2009-06-15 22:09:41,,2009
AEO,,2009-01-15 21:13:13,,2009
PacSun,California,2007-05-04 17:15:38,,2007
geauxdavoo,"Houston, TX",2012-07-29 04:06:58,,2012
kensmindxl,,2018-04-16 18:11:34,,2018
OrtegaGerman,Mexico,2010-09-19 02:22:22,,2010
RMascabrothers,,2014-09-02 11:55:36,,2014
freddymasca1,,2011-01-03 18:34:36,,2011
OscarDeLaHoya,"East Los Angeles, CA",2009-08-19 19:33:15,,2009
Canelo,Mexico,2010-05-18 19:03:53,,2010
Jcchavez115,Culiacan- Tijuana,2012-02-27 22:02:49,,2012
lamazon_oficial,Mèxico,2010-07-15 23:17:15,,2010
HectorSulaimanS,,2011-07-27 00:00:07,,2011
DiegoFC,"Querétaro, Qro. ",2021-02-06 01:48:17,,2021
JimenezEspriu,México D.F.México,2013-05-21 00:11:03,,2013
laishawilkins,El país de la simulación,2009-09-14 01:19:05,,2009
azucenau,,2009-12-01 19:14:53,,2009
albornoz_mx,"Morelos, México",2016-03-16 05:19:22,,2016
A_ausdenRuthen,México,2017-01-03 18:28:11,,2017
ezshabot,,2013-04-30 21:18:04,,2013
doctormacias,"Leon, Mexico",2011-06-13 06:06:02,,2011
bartije,,2010-12-15 03:32:42,,2010
CarlosM_Urzua,,2018-11-19 18:38:14,,2018
Bessiruga,"Mexico, Central Luzon",2017-07-11 17:33:50,,2017
elonmusk,,2009-06-02 20:12:29,,2009
RiuHoteles,Palma de Mallorca,2009-04-02 10:26:25,,2009
maurimm,"ÜT: 19.433827,-99.140943",2009-06-25 16:25:36,,2009
Antropocenista,El Capitoloceno,2017-08-30 04:41:45,,2017
operaworld_es,Opera is all over the world,2012-06-08 00:18:33,,2012
Pontifex,Vatican City,2012-02-23 11:38:07,,2012
ErnestoCordero,CDMX,2009-07-16 23:39:47,,2009
ElFinanciero_Mx,México,2010-03-02 14:34:09,,2010
juanita_bipolar,Mty! del mero sanwichito...,2011-09-23 05:27:16,,2011
TeAmoTioRober,MEXICO D.F.,2011-12-14 20:17:38,,2011
LaPinchiGrecia,"Distrito Federal, México",2013-05-20 07:46:07,,2013
Soytupmadre,Querétaro,2009-12-11 17:08:47,,2009
SharkTankMex,México,2012-02-14 14:03:42,,2012
Mike7blashotma1,"Tampico, Tamaulipas",2020-03-09 15:31:41,,2020
LabonteSan,,2020-05-28 03:51:26,,2020
UltimaHora_SLP,,2020-02-13 15:58:25,,2020
EstiloDF,Mexico D.F,2010-11-17 16:10:24,,2010
FEMSA,Monterrey Mexico,2010-04-23 15:42:17,,2010
_elan_,,2009-03-26 04:45:09,,2009
MaxKaiser75,,2015-07-01 19:50:06,,2015
julianlebaron,"Galeana, Chihuahua",2011-04-10 21:51:31,,2011
AdrianLebaron,,2020-01-26 23:20:07,,2020
dannapaola,,2010-02-07 03:48:13,,2010
benistofeles,,2009-04-26 13:04:16,,2009
JoseCardenas1,México,2009-12-01 05:29:34,,2009
PacoDeMiguelF,,2010-08-15 01:31:22,,2010
proceso,México,2009-05-19 17:00:37,,2009
En_laDelValle,"Del Valle, DF, México",2011-11-10 22:37:28,,2011
nctextiing,reklam ve iş birliği için dm,2020-03-28 00:54:09,,2020
dw_turkce,"Bonn, Germany",2009-07-28 21:12:26,,2009
incicaps,Dünya,2011-06-14 16:07:53,,2011
teyitorg,"Ankara, Türkiye",2016-08-15 14:05:29,,2016
sozluk,"istanbul, türkiye",2008-10-07 07:41:20,,2008
euronews_tr,Avrupa,2011-04-18 15:20:36,,2011
CrazyFunnyVidzz,,2020-02-21 04:50:18,,2020
jansetdoga,,2018-05-13 18:21:28,,2018
atavratfutboI,,2014-09-21 01:51:58,,2014
efsosporolay,Türkiye,2020-07-20 09:46:07,,2020
sivriikalemler,,2018-03-03 12:53:56,,2018
DumbDarwing,"37° 14′ 06″ N, 115° 48′ 40″ W",2019-07-03 17:00:23,,2019
eedademirbag,"İstanbul, Türkiye",2015-02-14 13:36:20,,2015
